Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,0.015522833,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.702668905,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.08439286
2,0.01523867,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.706581593,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.0878245
3,0.014570134,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.708107948,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.0912486
4,0.023315487,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.721917391,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.09469766
5,0.018541649,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.707792759,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.09810228
6,0.018413614,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.695388794,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.10150788
7,0.015182997,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.737422705,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.1049395
8,0.007868456,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.697060108,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.10835794
9,0.007646217,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.679968834,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.1117697
10,0.01367171,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.699791908,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.11519392
11,0.010924109,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.705461025,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.11860976
12,0.011179279,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.707532406,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.1220301
13,0.007778566,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.701318026,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.12546038
14,0.008657671,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.701518536,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.12887992
15,0.008199016,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700282335,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.13231348
16,0.0146867,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700742722,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.13572882
17,0.011098669,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.704770565,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.13913898
18,0.010404407,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.698641539,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.14254754
19,0.006725357,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.695304155,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.14598888
20,0.017188821,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.702063799,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.14940138
21,0.01908184,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.684256554,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.15280642
22,0.020290405,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.693117619,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.15623676
23,0.0173654,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.699822426,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.1596484
24,0.018446669,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.702063799,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.16306826
25,0.014540439,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700482368,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.16648604
26,0.015447443,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.701863766,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.16989268
27,0.015391191,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700367689,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.17332872
28,0.017536337,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.702899218,Volt DC,10,T,2W,F,F,02/29/2024,19:24:51,0.1767676
