Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,0.018810434,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.706696749,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.74429232
2,0.01790053,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.698756218,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.74774402
3,0.014502163,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.697950602,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.75115974
4,0.01945373,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.701893568,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.75459602
5,0.014817764,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.693837881,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.75801334
6,0.016542343,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.691621542,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.76143864
7,0.018418983,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.699677229,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.7648554
8,0.018171357,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.699101448,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.76828368
9,0.01461861,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.697460651,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.77171262
10,0.015455563,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700712681,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.77515108
11,0.014960886,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.699331999,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.77856282
12,0.015763503,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.696684837,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.78199444
13,0.018633986,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.701718569,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.78542326
14,0.018985724,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.694643497,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.78883982
15,0.014476185,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.702123642,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.79225462
16,0.015432036,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.702844381,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.79568078
17,0.014931889,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.701057911,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.79909822
18,0.006940566,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.697290659,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.80252416
19,0.010671753,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700942755,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.80594582
20,0.010886906,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.699101448,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.80936752
21,0.007399291,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.695679188,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.81278284
22,0.008175818,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.701548338,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.81619858
23,0.006966026,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.693923235,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.81961896
24,0.008777715,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.707272053,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.82303976
25,0.010605642,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.695994616,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.82647802
26,0.010290246,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.699131489,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.82992564
27,0.008436276,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700772762,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.833339
28,0.008693116,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.696830034,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.83677688
29,0.008025682,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.706296682,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.84018016
30,0.024693202,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.695994616,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.8436189
31,0.017670879,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.699561834,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.84704064
32,0.018362582,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.695043564,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.850459
33,0.015473085,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700397491,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.85389318
34,0.015480625,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700052261,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.8573127
35,0.015174878,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.704740763,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.86073844
36,0.021739639,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.708883286,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.86416624
37,0.01727465,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700567722,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.86758692
38,0.017857617,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.70945859,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.87100304
39,0.014781687,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700252295,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.8744415
40,0.016414313,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.705576181,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.87785056
41,0.015036978,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.705115795,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.88127392
42,0.022393977,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700512648,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.88470008
43,0.017534301,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.700082302,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.88812828
44,0.018996743,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.704310179,Volt DC,10,T,2W,F,F,02/29/2024,19:31:36,0.89154006
