Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,0.016512321,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.005243301,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.4995791
2,0.017051077,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000870228,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.50301966
3,0.014611308,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999834061,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.5064525
4,0.013924558,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.001067638,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.50986232
5,0.007379054,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.001477718,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.51327504
6,0.007594148,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000064373,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.51671274
7,0.009348867,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000114441,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.52011722
8,0.010106904,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.001067638,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.5235201
9,0.010064488,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.02278471,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.5269433
10,0.007084389,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.992814064,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.53036094
11,0.008629834,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.998420715,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.53378674
12,0.006511944,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000261784,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.5372057
13,0.010311452,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999391317,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.54062204
14,0.010299524,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.995576382,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.54404704
15,0.00810906,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.997845173,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.54747638
16,0.006739855,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.005095482,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.55088966
17,0.016746478,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.995198488,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.55429992
18,0.013797442,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.003221512,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.55771338
19,0.017582435,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.995033026,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.56114096
20,0.023714481,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.974056005,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.56455414
21,0.013820751,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.997499943,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.56797582
22,0.014978039,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.998470545,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.57138746
23,0.014712216,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000179768,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.57482096
24,0.013844528,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.983460188,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.57826134
25,0.017109372,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999999046,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.58168122
26,0.017607667,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999916315,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.5851197
27,0.014155253,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000229359,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.58853566
28,0.014640305,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.997647524,Volt DC,10,T,2W,F,F,02/29/2024,19:18:09,0.59194952
