Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,0.010348239,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999834061,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.12593358
2,0.006722512,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.003056526,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.12938144
3,0.007704915,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999373674,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.13278664
4,0.006720718,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.997269869,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.13621068
5,0.00732906,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.012345314,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.13965254
6,0.01064499,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.99804306,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.14306338
7,0.020101765,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000804901,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.14648598
8,0.019052107,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.980320692,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.14992698
9,0.014707338,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000689983,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.15333522
10,0.013888136,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.001100063,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.1567463
11,0.020615909,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.010076046,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.16017966
12,0.017491825,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.998222828,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.16358444
13,0.01668166,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.005473137,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.16699294
14,0.014586029,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.001395226,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.17043322
15,0.015219077,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.997992754,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.17384836
16,0.013950768,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.998337984,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.17725512
17,0.021557719,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.013298512,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.18069688
18,0.020908775,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.994080067,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.1841153
19,0.01782514,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999571085,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.18752224
20,0.014760231,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.00693655,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.19094144
21,0.015665749,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.00032711,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.19435696
22,0.013913652,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999718904,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.19776428
23,0.020872651,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.010619164,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.20119824
24,0.017721333,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000952721,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.2046163
25,0.018149318,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.012805462,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.20805376
26,0.014758611,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.9991436,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.21148904
27,0.020810187,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999948978,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.21491408
28,0.014835622,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.001527786,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.21832844
29,0.020316917,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000229359,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.22174734
30,0.017534597,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.000261784,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.22517148
31,0.017199839,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.996201754,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.2286027
32,0.014790508,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.999948978,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.23201346
33,0.014287011,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.998305559,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.23544736
34,0.014499962,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.001790524,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.23886878
35,0.019909555,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.997532368,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.24229368
36,0.01680563,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,3.993587255,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.24571808
37,0.019403275,Amp DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,4.034473419,Volt DC,10,T,2W,F,F,02/29/2024,19:35:03,0.24913926
