_time,packet_id,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
2023-12-29 15:50:56.247487,0,23.00,-4.00,5.00,-1779.00,578.00,-3601.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.262481,1,23.00,-4.00,5.00,-1779.00,578.00,-3601.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.276026,2,21.00,-12.00,4.00,-1780.00,601.00,-3620.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.291837,3,-3.00,-34.00,5.00,-1783.00,583.00,-3676.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.306791,4,-22.00,-35.00,0.00,-1778.00,565.00,-3692.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.347974,5,-37.00,-18.00,-10.00,-1780.00,576.00,-3684.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.353475,6,-34.00,0.00,-16.00,-1820.00,620.00,-3666.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.359906,7,-23.00,7.00,-14.00,-1831.00,627.00,-3640.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.366880,8,-11.00,5.00,8.00,-1831.00,643.00,-3632.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.382125,9,-13.00,2.00,23.00,-1806.00,612.00,-3642.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.397108,10,-11.00,-3.00,20.00,-1797.00,597.00,-3648.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.412016,11,-10.00,-9.00,8.00,-1806.00,603.00,-3663.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.426965,12,-21.00,-11.00,15.00,-1801.00,616.00,-3663.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.442734,13,-28.00,-8.00,12.00,-1798.00,614.00,-3638.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.457020,14,-29.00,9.00,7.00,-1812.00,605.00,-3642.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.472979,15,-32.00,28.00,18.00,-1804.00,608.00,-3603.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.488066,16,-17.00,34.00,25.00,-1773.00,605.00,-3586.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.501488,17,10.00,24.00,13.00,-1771.00,592.00,-3586.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.517303,18,-3.00,8.00,11.00,-1801.00,602.00,-3598.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.531818,19,-17.00,-4.00,15.00,-1802.00,620.00,-3598.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.546847,20,-12.00,-11.00,23.00,-1788.00,630.00,-3598.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.561246,21,-10.00,-4.00,14.00,-1790.00,605.00,-3652.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.576721,22,-6.00,8.00,9.00,-1820.00,592.00,-3668.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.591831,23,0.00,51.00,3.00,-1823.00,602.00,-3623.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.608014,24,4.00,58.00,14.00,-1826.00,653.00,-3567.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.623337,25,7.00,48.00,36.00,-1820.00,650.00,-3539.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.640311,26,23.00,26.00,56.00,-1798.00,604.00,-3533.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.652453,27,34.00,12.00,48.00,-1791.00,587.00,-3624.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.667032,28,19.00,16.00,38.00,-1804.00,593.00,-3652.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.682948,29,-9.00,38.00,50.00,-1829.00,618.00,-3642.00,-0.70,0.68,0.21,0.10
2023-12-29 15:50:56.697565,30,18.00,61.00,87.00,-1772.00,618.00,-3625.00,-0.70,0.67,0.21,0.09
2023-12-29 15:50:56.711904,31,52.00,79.00,95.00,-1748.00,606.00,-3637.00,-0.70,0.67,0.21,0.09
2023-12-29 15:50:56.727104,32,86.00,85.00,86.00,-1721.00,507.00,-3667.00,-0.70,0.67,0.21,0.09
