_time,packet_id,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
2023-12-29 15:52:46.996007,0,-28.00,45.00,98.00,450.00,734.00,-4037.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.004486,1,-28.00,45.00,98.00,450.00,734.00,-4037.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.007480,2,-35.00,33.00,76.00,452.00,738.00,-4004.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.012461,3,-41.00,30.00,64.00,456.00,732.00,-4003.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.025445,4,-41.00,28.00,55.00,488.00,724.00,-4012.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.030401,5,-68.00,45.00,57.00,496.00,723.00,-4030.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.036381,6,-76.00,57.00,67.00,476.00,713.00,-4027.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.054830,7,-75.00,65.00,83.00,455.00,698.00,-4009.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.061864,8,-80.00,77.00,102.00,449.00,699.00,-4000.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.066858,9,-70.00,87.00,124.00,449.00,677.00,-3948.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.072566,10,-66.00,88.00,129.00,444.00,661.00,-3936.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.077566,11,-42.00,87.00,121.00,460.00,640.00,-3920.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.086525,12,-16.00,70.00,84.00,448.00,651.00,-3939.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.093031,13,-9.00,54.00,71.00,454.00,637.00,-3946.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.101268,14,9.00,2.00,10.00,492.00,656.00,-3983.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.116294,15,17.00,-17.00,-15.00,518.00,682.00,-3986.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.120281,16,22.00,-36.00,-52.00,532.00,707.00,-3987.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.125473,17,26.00,-41.00,-71.00,540.00,708.00,-4000.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.146409,18,22.00,-41.00,-87.00,521.00,704.00,-4017.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.151392,19,18.00,-27.00,-81.00,509.00,706.00,-4029.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.161080,20,4.00,11.00,4.00,458.00,704.00,-4048.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.167044,21,0.00,28.00,41.00,454.00,708.00,-4064.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.171031,22,0.00,41.00,92.00,406.00,718.00,-4052.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.176015,23,3.00,53.00,143.00,420.00,674.00,-3992.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.182169,24,3.00,56.00,148.00,416.00,663.00,-4007.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.191273,25,-4.00,37.00,123.00,446.00,635.00,-3985.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.196663,26,-3.00,27.00,98.00,442.00,648.00,-3985.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.222631,27,-3.00,27.00,98.00,442.00,648.00,-3985.00,0.82,0.56,0.10,0.04
2023-12-29 15:52:47.225941,28,8.00,3.00,53.00,398.00,681.00,-3955.00,0.82,0.55,0.10,0.04
2023-12-29 15:52:47.229926,29,31.00,-38.00,8.00,391.00,662.00,-3948.00,0.83,0.55,0.10,0.04
2023-12-29 15:52:47.237056,30,21.00,-50.00,2.00,414.00,652.00,-3971.00,0.83,0.55,0.10,0.04
2023-12-29 15:52:47.240533,31,7.00,-54.00,-17.00,500.00,619.00,-3996.00,0.83,0.55,0.10,0.04
2023-12-29 15:52:47.267149,32,3.00,-52.00,-34.00,526.00,663.00,-3986.00,0.83,0.55,0.10,0.04
2023-12-29 15:52:47.272139,33,7.00,-45.00,-35.00,517.00,688.00,-3978.00,0.83,0.55,0.10,0.04
2023-12-29 15:52:47.275121,34,33.00,-9.00,0.00,481.00,744.00,-3990.00,0.83,0.54,0.10,0.04
2023-12-29 15:52:47.282133,35,36.00,1.00,22.00,484.00,745.00,-3988.00,0.83,0.54,0.10,0.04
2023-12-29 15:52:47.287170,36,35.00,16.00,62.00,499.00,730.00,-4003.00,0.83,0.54,0.10,0.04
2023-12-29 15:52:47.298193,37,3.00,41.00,90.00,586.00,710.00,-3988.00,0.84,0.54,0.10,0.04
2023-12-29 15:52:47.303164,38,-4.00,41.00,79.00,588.00,706.00,-3966.00,0.84,0.54,0.10,0.04
2023-12-29 15:52:47.312263,39,-31.00,39.00,27.00,575.00,680.00,-3986.00,0.84,0.53,0.10,0.04
2023-12-29 15:52:47.319181,40,-38.00,38.00,7.00,558.00,672.00,-3974.00,0.84,0.53,0.10,0.04
