_time,packet_id,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
2023-12-29 16:08:36.811945,0,0.00,-1.00,0.00,63.00,4105.00,-244.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.820581,1,0.00,-1.00,0.00,63.00,4105.00,-244.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.822573,2,2.00,-1.00,1.00,57.00,4114.00,-237.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.832626,3,0.00,0.00,0.00,60.00,4104.00,-239.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.837360,4,-3.00,0.00,1.00,66.00,4100.00,-250.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.842542,5,3.00,0.00,1.00,61.00,4098.00,-248.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.849457,6,3.00,0.00,1.00,61.00,4098.00,-248.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.852875,7,0.00,1.00,0.00,61.00,4093.00,-254.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.859448,8,1.00,-1.00,0.00,66.00,4091.00,-244.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.865299,9,0.00,-2.00,0.00,70.00,4089.00,-254.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.869315,10,0.00,-2.00,0.00,75.00,4104.00,-249.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.873214,11,2.00,0.00,0.00,53.00,4105.00,-246.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.878835,12,-2.00,-1.00,1.00,67.00,4105.00,-246.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.882205,13,0.00,0.00,0.00,76.00,4100.00,-245.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.886399,14,0.00,0.00,4.00,57.00,4112.00,-236.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.891095,15,0.00,-1.00,0.00,72.00,4100.00,-242.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.896978,16,1.00,1.00,3.00,65.00,4108.00,-258.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.902593,17,1.00,1.00,3.00,65.00,4108.00,-258.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.906791,18,2.00,0.00,2.00,59.00,4108.00,-240.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.912729,19,0.00,0.00,0.00,62.00,4103.00,-251.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.918085,20,0.00,1.00,0.00,70.00,4087.00,-255.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.921534,21,1.00,1.00,-1.00,73.00,4110.00,-251.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.926033,22,-1.00,-1.00,0.00,50.00,4107.00,-244.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.931322,23,0.00,0.00,0.00,82.00,4108.00,-242.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.934927,24,1.00,0.00,0.00,59.00,4105.00,-248.00,0.47,0.56,0.53,0.43
2023-12-29 16:08:36.946165,25,0.00,-1.00,0.00,67.00,4099.00,-250.00,0.47,0.56,0.53,0.43
