_time,packet_id,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
2023-12-29 16:01:48.820018,0,3.00,-2.00,2.00,-1339.00,454.00,-3848.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.833396,1,3.00,0.00,3.00,-1338.00,457.00,-3838.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.837061,2,5.00,-2.00,0.00,-1332.00,448.00,-3836.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.843050,3,5.00,-2.00,0.00,-1332.00,448.00,-3836.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.847299,4,2.00,0.00,0.00,-1326.00,450.00,-3845.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.853022,5,2.00,0.00,0.00,-1326.00,450.00,-3845.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.858904,6,5.00,-2.00,-2.00,-1340.00,435.00,-3850.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.864071,7,5.00,-4.00,0.00,-1338.00,454.00,-3841.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.869438,8,5.00,-1.00,0.00,-1324.00,460.00,-3824.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.878234,9,6.00,-2.00,2.00,-1338.00,433.00,-3840.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.883057,10,6.00,-2.00,0.00,-1331.00,443.00,-3843.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.888556,11,8.00,-1.00,0.00,-1336.00,452.00,-3839.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.892512,12,8.00,-1.00,0.00,-1336.00,452.00,-3839.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.898491,13,7.00,-1.00,0.00,-1344.00,452.00,-3837.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.902998,14,5.00,-2.00,1.00,-1339.00,442.00,-3845.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.908977,15,4.00,-1.00,1.00,-1346.00,451.00,-3847.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.914973,16,7.00,0.00,-2.00,-1340.00,437.00,-3853.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.919941,17,8.00,0.00,0.00,-1337.00,446.00,-3844.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.924927,18,8.00,0.00,0.00,-1337.00,446.00,-3844.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.938922,19,6.00,-3.00,0.00,-1337.00,440.00,-3843.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.946425,20,7.00,-3.00,1.00,-1340.00,448.00,-3835.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.952337,21,4.00,-1.00,1.00,-1344.00,449.00,-3843.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.957464,22,6.00,0.00,0.00,-1342.00,444.00,-3833.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.962450,23,5.00,-1.00,0.00,-1337.00,438.00,-3851.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.966443,24,3.00,-2.00,0.00,-1348.00,440.00,-3840.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.970428,25,7.00,0.00,0.00,-1349.00,444.00,-3837.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.983207,26,6.00,0.00,-1.00,-1344.00,442.00,-3855.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.987274,27,6.00,0.00,-1.00,-1344.00,442.00,-3855.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.991260,28,6.00,0.00,0.00,-1353.00,432.00,-3847.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:48.995501,29,3.00,-2.00,1.00,-1358.00,436.00,-3845.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.001478,30,4.00,0.00,1.00,-1325.00,443.00,-3859.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.012903,31,3.00,0.00,0.00,-1348.00,440.00,-3843.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.017132,32,1.00,-3.00,0.00,-1335.00,444.00,-3853.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.029287,33,0.00,-1.00,0.00,-1335.00,436.00,-3849.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.034584,34,2.00,1.00,0.00,-1351.00,451.00,-3838.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.037981,35,2.00,1.00,0.00,-1351.00,451.00,-3838.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.042965,36,2.00,-1.00,2.00,-1348.00,439.00,-3845.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.058378,37,0.00,0.00,4.00,-1350.00,444.00,-3855.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.065173,38,1.00,-2.00,3.00,-1342.00,432.00,-3842.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.068831,39,1.00,1.00,3.00,-1345.00,438.00,-3846.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.071827,40,1.00,1.00,3.00,-1345.00,438.00,-3846.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.079143,41,0.00,0.00,1.00,-1353.00,438.00,-3841.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.084402,42,0.00,0.00,0.00,-1348.00,437.00,-3839.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.089377,43,0.00,0.00,4.00,-1344.00,438.00,-3853.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.095574,44,0.00,0.00,1.00,-1344.00,440.00,-3847.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.099540,45,0.00,0.00,1.00,-1344.00,440.00,-3847.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.104524,46,-2.00,0.00,4.00,-1349.00,437.00,-3836.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.110518,47,-1.00,2.00,3.00,-1334.00,437.00,-3835.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.115696,48,-1.00,2.00,3.00,-1334.00,437.00,-3835.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.133640,49,-1.00,0.00,3.00,-1334.00,444.00,-3845.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.139052,50,-1.00,0.00,5.00,-1347.00,442.00,-3840.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.144460,51,-2.00,1.00,3.00,-1348.00,437.00,-3835.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.149440,52,-2.00,1.00,3.00,-1348.00,437.00,-3835.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.152505,53,-5.00,0.00,4.00,-1346.00,443.00,-3842.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.164392,54,-2.00,-1.00,5.00,-1346.00,437.00,-3843.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.168716,55,-2.00,0.00,5.00,-1344.00,442.00,-3840.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.171708,56,0.00,1.00,4.00,-1345.00,441.00,-3846.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.194185,57,-5.00,1.00,4.00,-1337.00,448.00,-3836.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.199308,58,-3.00,2.00,5.00,-1329.00,443.00,-3843.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.204290,59,0.00,3.00,2.00,-1336.00,455.00,-3846.00,0.70,0.70,-0.08,0.16
2023-12-29 16:01:49.207281,60,-5.00,1.00,6.00,-1340.00,440.00,-3837.00,0.70,0.70,-0.08,0.16
