_time,packet_id,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
2023-12-29 16:03:41.235901,0,-140.00,-145.00,-82.00,4090.00,643.00,-468.00,-0.28,-0.69,-0.35,0.57
2023-12-29 16:03:41.249600,1,-167.00,-121.00,-73.00,4055.00,638.00,-479.00,-0.28,-0.69,-0.35,0.57
2023-12-29 16:03:41.264993,2,-199.00,-110.00,-59.00,4025.00,661.00,-466.00,-0.28,-0.69,-0.35,0.56
2023-12-29 16:03:41.279332,3,-303.00,-132.00,30.00,3983.00,683.00,-463.00,-0.28,-0.69,-0.36,0.56
2023-12-29 16:03:41.295151,4,-396.00,-186.00,146.00,3978.00,663.00,-515.00,-0.28,-0.69,-0.35,0.56
2023-12-29 16:03:41.310960,5,-421.00,-192.00,188.00,3973.00,605.00,-563.00,-0.28,-0.69,-0.36,0.56
2023-12-29 16:03:41.324929,6,-433.00,-171.00,191.00,3995.00,525.00,-653.00,-0.28,-0.69,-0.35,0.56
2023-12-29 16:03:41.339794,7,-408.00,-152.00,123.00,4062.00,457.00,-597.00,-0.28,-0.69,-0.36,0.56
2023-12-29 16:03:41.369107,8,-311.00,-154.00,-7.00,4117.00,477.00,-475.00,-0.29,-0.69,-0.36,0.56
2023-12-29 16:03:41.375476,9,-125.00,-194.00,-118.00,4012.00,567.00,-435.00,-0.29,-0.69,-0.36,0.56
2023-12-29 16:03:41.384444,10,-76.00,-212.00,-111.00,3973.00,565.00,-464.00,-0.29,-0.69,-0.36,0.56
2023-12-29 16:03:41.398821,11,-41.00,-223.00,-97.00,3952.00,554.00,-529.00,-0.29,-0.69,-0.36,0.56
2023-12-29 16:03:41.414109,12,-79.00,-178.00,-44.00,3984.00,555.00,-612.00,-0.29,-0.70,-0.36,0.56
2023-12-29 16:03:41.428945,13,-157.00,-163.00,20.00,3981.00,544.00,-652.00,-0.29,-0.70,-0.36,0.55
2023-12-29 16:03:41.444707,14,-198.00,-154.00,54.00,3981.00,544.00,-646.00,-0.29,-0.70,-0.36,0.55
2023-12-29 16:03:41.460039,15,-218.00,-121.00,95.00,4023.00,551.00,-628.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.474411,16,-205.00,-91.00,99.00,4043.00,545.00,-562.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.490479,17,-169.00,-83.00,76.00,4061.00,518.00,-531.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.525363,18,-122.00,-16.00,-14.00,4062.00,451.00,-582.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.530349,19,-103.00,38.00,-84.00,3994.00,435.00,-651.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.535333,20,-103.00,53.00,-95.00,3953.00,470.00,-624.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.549229,21,-85.00,15.00,-51.00,3951.00,468.00,-548.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.564194,22,-37.00,2.00,-12.00,3969.00,454.00,-526.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.579159,23,21.00,78.00,11.00,3996.00,434.00,-609.00,-0.29,-0.70,-0.35,0.55
2023-12-29 16:03:41.608041,24,32.00,191.00,77.00,3945.00,446.00,-716.00,-0.29,-0.70,-0.35,0.56
2023-12-29 16:03:41.615404,25,17.00,191.00,105.00,3923.00,449.00,-727.00,-0.29,-0.70,-0.35,0.56
2023-12-29 16:03:41.623377,26,21.00,95.00,126.00,3948.00,479.00,-667.00,-0.28,-0.70,-0.35,0.56
2023-12-29 16:03:41.653517,27,56.00,39.00,116.00,3976.00,441.00,-604.00,-0.28,-0.70,-0.35,0.56
2023-12-29 16:03:41.660494,28,156.00,-29.00,52.00,4003.00,467.00,-537.00,-0.28,-0.70,-0.35,0.56
2023-12-29 16:03:41.683041,29,215.00,-104.00,44.00,3957.00,511.00,-515.00,-0.28,-0.70,-0.35,0.56
2023-12-29 16:03:41.699917,30,232.00,-181.00,66.00,3958.00,501.00,-584.00,-0.28,-0.70,-0.35,0.56
2023-12-29 16:03:41.705116,31,155.00,-160.00,67.00,3999.00,419.00,-689.00,-0.28,-0.70,-0.34,0.56
2023-12-29 16:03:41.716192,32,82.00,-130.00,46.00,3977.00,403.00,-710.00,-0.28,-0.70,-0.34,0.56
2023-12-29 16:03:41.728483,33,29.00,-140.00,36.00,3971.00,431.00,-685.00,-0.28,-0.70,-0.34,0.56
2023-12-29 16:03:41.745873,34,52.00,-159.00,69.00,3962.00,479.00,-689.00,-0.28,-0.70,-0.34,0.56
2023-12-29 16:03:41.761774,35,98.00,-174.00,105.00,3971.00,475.00,-696.00,-0.29,-0.70,-0.34,0.56
2023-12-29 16:03:41.802682,36,113.00,-220.00,110.00,4001.00,457.00,-720.00,-0.29,-0.70,-0.34,0.56
2023-12-29 16:03:41.808666,37,143.00,-299.00,32.00,4092.00,407.00,-653.00,-0.29,-0.70,-0.34,0.56
2023-12-29 16:03:41.819631,38,140.00,-326.00,-40.00,4059.00,435.00,-694.00,-0.29,-0.71,-0.33,0.55
2023-12-29 16:03:41.835628,39,82.00,-323.00,-47.00,4022.00,442.00,-691.00,-0.29,-0.71,-0.33,0.55
2023-12-29 16:03:41.849697,40,-57.00,-240.00,17.00,4008.00,440.00,-736.00,-0.29,-0.71,-0.33,0.55
2023-12-29 16:03:41.864426,41,-12.00,-195.00,3.00,4080.00,412.00,-683.00,-0.29,-0.71,-0.33,0.55
2023-12-29 16:03:41.908542,42,91.00,-176.00,-19.00,4055.00,463.00,-682.00,-0.29,-0.71,-0.33,0.55
2023-12-29 16:03:41.915525,43,138.00,-151.00,-3.00,3999.00,495.00,-734.00,-0.29,-0.71,-0.33,0.55
2023-12-29 16:03:41.925577,44,145.00,-101.00,60.00,3979.00,457.00,-794.00,-0.29,-0.71,-0.33,0.55
2023-12-29 16:03:41.940565,45,112.00,-83.00,80.00,3977.00,417.00,-826.00,-0.29,-0.71,-0.33,0.55
2023-12-29 16:03:41.954796,46,100.00,-53.00,-15.00,4007.00,353.00,-857.00,-0.29,-0.72,-0.32,0.55
2023-12-29 16:03:41.970679,47,120.00,-49.00,4.00,3962.00,421.00,-884.00,-0.29,-0.72,-0.32,0.55
2023-12-29 16:03:41.985935,48,130.00,-57.00,56.00,3972.00,404.00,-880.00,-0.29,-0.72,-0.32,0.55
2023-12-29 16:03:42.000924,49,125.00,-55.00,69.00,3987.00,382.00,-867.00,-0.29,-0.72,-0.32,0.55
2023-12-29 16:03:42.014922,50,87.00,-10.00,40.00,3995.00,362.00,-823.00,-0.29,-0.72,-0.32,0.55
2023-12-29 16:03:42.028695,51,59.00,18.00,11.00,3987.00,346.00,-774.00,-0.29,-0.72,-0.32,0.55
2023-12-29 16:03:42.044398,52,53.00,33.00,-5.00,4014.00,331.00,-721.00,-0.29,-0.72,-0.32,0.55
2023-12-29 16:03:42.059946,53,96.00,49.00,-19.00,3946.00,348.00,-777.00,-0.28,-0.72,-0.32,0.55
2023-12-29 16:03:42.074713,54,90.00,50.00,38.00,3898.00,384.00,-810.00,-0.28,-0.72,-0.31,0.55
2023-12-29 16:03:42.089758,55,63.00,42.00,125.00,3953.00,340.00,-760.00,-0.28,-0.72,-0.31,0.55
2023-12-29 16:03:42.104683,56,75.00,22.00,115.00,4007.00,327.00,-641.00,-0.28,-0.72,-0.31,0.55
2023-12-29 16:03:42.135455,57,176.00,-49.00,-13.00,4147.00,270.00,-492.00,-0.28,-0.72,-0.31,0.55
2023-12-29 16:03:42.141430,58,248.00,-76.00,-106.00,4156.00,250.00,-487.00,-0.28,-0.72,-0.31,0.55
2023-12-29 16:03:42.150919,59,263.00,-37.00,-165.00,4081.00,263.00,-584.00,-0.28,-0.72,-0.31,0.55
2023-12-29 16:03:42.180702,60,190.00,23.00,-107.00,4064.00,272.00,-602.00,-0.28,-0.72,-0.31,0.55
2023-12-29 16:03:42.188675,61,94.00,140.00,-40.00,4128.00,221.00,-547.00,-0.28,-0.72,-0.31,0.56
2023-12-29 16:03:42.195343,62,113.00,197.00,-66.00,4134.00,191.00,-476.00,-0.27,-0.72,-0.31,0.56
2023-12-29 16:03:42.209828,63,145.00,203.00,-101.00,4103.00,183.00,-488.00,-0.27,-0.72,-0.31,0.56
2023-12-29 16:03:42.224819,64,186.00,179.00,-122.00,4033.00,155.00,-571.00,-0.27,-0.72,-0.30,0.56
2023-12-29 16:03:42.239842,65,173.00,202.00,-107.00,4012.00,149.00,-625.00,-0.27,-0.72,-0.30,0.56
2023-12-29 16:03:42.254682,66,174.00,196.00,-74.00,4045.00,122.00,-519.00,-0.27,-0.72,-0.30,0.56
2023-12-29 16:03:42.270185,67,197.00,172.00,-56.00,4060.00,133.00,-458.00,-0.27,-0.72,-0.30,0.56
2023-12-29 16:03:42.313697,68,263.00,150.00,-17.00,4101.00,137.00,-372.00,-0.26,-0.72,-0.30,0.56
2023-12-29 16:03:42.330598,69,364.00,129.00,29.00,4101.00,182.00,-263.00,-0.26,-0.72,-0.30,0.57
2023-12-29 16:03:42.336579,70,495.00,63.00,136.00,4093.00,292.00,-280.00,-0.26,-0.72,-0.30,0.57
2023-12-29 16:03:42.346812,71,552.00,31.00,227.00,4080.00,334.00,-323.00,-0.26,-0.72,-0.29,0.57
2023-12-29 16:03:42.360721,72,492.00,117.00,223.00,4161.00,191.00,-283.00,-0.26,-0.72,-0.28,0.58
2023-12-29 16:03:42.374963,73,402.00,254.00,64.00,4061.00,138.00,-289.00,-0.26,-0.72,-0.28,0.58
2023-12-29 16:03:42.389727,74,399.00,297.00,-4.00,4078.00,87.00,-281.00,-0.26,-0.72,-0.28,0.58
2023-12-29 16:03:42.404827,75,429.00,348.00,-132.00,4088.00,16.00,-264.00,-0.25,-0.72,-0.28,0.58
2023-12-29 16:03:42.419777,76,468.00,355.00,-243.00,4020.00,36.00,-373.00,-0.25,-0.72,-0.28,0.58
2023-12-29 16:03:42.434796,77,414.00,78.00,-261.00,3781.00,141.00,-763.00,-0.24,-0.72,-0.28,0.59
2023-12-29 16:03:42.480929,78,252.00,-280.00,-222.00,3757.00,161.00,-956.00,-0.24,-0.72,-0.28,0.59
2023-12-29 16:03:42.539771,79,147.00,-757.00,-304.00,3592.00,266.00,-1082.00,-0.24,-0.73,-0.27,0.58
2023-12-29 16:03:42.718577,80,159.00,-846.00,-405.00,3637.00,295.00,-1157.00,-0.24,-0.73,-0.27,0.58
2023-12-29 16:03:42.724552,81,240.00,-1188.00,-779.00,3779.00,399.00,-1372.00,-0.22,-0.76,-0.27,0.56
2023-12-29 16:03:42.779890,82,269.00,-1617.00,-1090.00,3878.00,607.00,-1620.00,-0.20,-0.79,-0.26,0.51
2023-12-29 16:03:42.840158,83,183.00,-1924.00,-1281.00,3743.00,850.00,-1908.00,-0.18,-0.83,-0.26,0.46
2023-12-29 16:03:42.899937,84,-1573.00,-2559.00,-1240.00,3194.00,1222.00,-3726.00,-0.17,-0.88,-0.31,0.31
2023-12-29 16:03:42.959888,85,-710.00,-2144.00,-1299.00,2123.00,1983.00,-2903.00,-0.17,-0.90,-0.35,0.19
2023-12-29 16:03:43.019290,86,-386.00,-2321.00,-1022.00,1003.00,2216.00,-3929.00,-0.16,-0.91,-0.35,0.13
2023-12-29 16:03:43.139848,87,43.00,-2374.00,-807.00,1072.00,2406.00,-1898.00,-0.15,-0.92,-0.35,0.06
2023-12-29 16:03:43.145350,88,549.00,-2368.00,-640.00,-523.00,1776.00,-3929.00,0.14,0.93,0.33,0.01
2023-12-29 16:03:43.200095,89,946.00,-2352.00,-555.00,-141.00,2308.00,-2974.00,0.13,0.94,0.29,0.08
2023-12-29 16:03:43.259967,90,1226.00,-2336.00,-562.00,-486.00,2081.00,-3201.00,0.12,0.95,0.25,0.15
2023-12-29 16:03:43.319938,91,1352.00,-2268.00,-650.00,-1903.00,1237.00,-4052.00,0.12,0.95,0.19,0.22
