_time,packet_id,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
2023-12-29 15:56:23.426230,0,8.00,17.00,-24.00,278.00,152.00,-4126.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.439852,1,1.00,19.00,-34.00,250.00,178.00,-4126.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.456612,2,1.00,19.00,-34.00,250.00,178.00,-4126.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.470965,3,-1.00,24.00,-27.00,245.00,219.00,-4136.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.486034,4,-10.00,63.00,-2.00,269.00,202.00,-4161.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.500029,5,15.00,89.00,5.00,246.00,169.00,-4131.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.516365,6,33.00,84.00,-16.00,286.00,180.00,-4134.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.531312,7,6.00,85.00,-34.00,301.00,210.00,-4132.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.545273,8,-27.00,97.00,-36.00,257.00,261.00,-4046.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.560594,9,-13.00,91.00,-7.00,231.00,274.00,-4026.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.575932,10,-16.00,92.00,36.00,287.00,219.00,-4080.00,-0.96,-0.27,-0.07,0.01
2023-12-29 15:56:23.590745,11,-11.00,105.00,33.00,298.00,189.00,-4051.00,-0.96,-0.27,-0.08,0.01
2023-12-29 15:56:23.605712,12,41.00,116.00,25.00,291.00,196.00,-4058.00,-0.96,-0.28,-0.08,0.01
2023-12-29 15:56:23.620674,13,34.00,126.00,31.00,332.00,225.00,-4071.00,-0.96,-0.28,-0.08,0.01
2023-12-29 15:56:23.635825,14,-8.00,121.00,24.00,354.00,237.00,-4065.00,-0.96,-0.28,-0.08,0.01
2023-12-29 15:56:23.650474,15,-43.00,89.00,1.00,359.00,201.00,-4085.00,-0.96,-0.27,-0.08,0.01
2023-12-29 15:56:23.666586,16,-46.00,84.00,-14.00,334.00,217.00,-4070.00,-0.96,-0.27,-0.08,0.01
2023-12-29 15:56:23.681632,17,-41.00,116.00,-13.00,352.00,236.00,-4117.00,-0.96,-0.27,-0.08,0.01
2023-12-29 15:56:23.695738,18,-23.00,156.00,9.00,331.00,232.00,-4080.00,-0.96,-0.27,-0.08,0.01
2023-12-29 15:56:23.710783,19,24.00,194.00,31.00,353.00,222.00,-4058.00,-0.96,-0.27,-0.08,0.01
2023-12-29 15:56:23.724961,20,26.00,203.00,40.00,380.00,255.00,-4068.00,-0.96,-0.27,-0.08,0.01
2023-12-29 15:56:23.744052,21,-18.00,188.00,43.00,421.00,190.00,-4052.00,-0.96,-0.27,-0.08,0.01
2023-12-29 15:56:23.756011,22,-41.00,167.00,1.00,404.00,160.00,-4015.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.771165,23,-18.00,135.00,-10.00,401.00,182.00,-4007.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.786156,24,21.00,127.00,-19.00,430.00,176.00,-4018.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.802168,25,40.00,137.00,-39.00,428.00,209.00,-4051.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.830523,26,0.00,141.00,-74.00,381.00,250.00,-4027.00,-0.96,-0.28,-0.09,0.01
2023-12-29 15:56:23.835546,27,-71.00,91.00,-69.00,335.00,299.00,-3963.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.846478,28,-101.00,-2.00,-38.00,313.00,349.00,-3918.00,-0.96,-0.28,-0.09,0.01
2023-12-29 15:56:23.874846,29,-102.00,-54.00,4.00,344.00,339.00,-3957.00,-0.96,-0.28,-0.09,0.01
2023-12-29 15:56:23.882434,30,-95.00,-63.00,50.00,390.00,273.00,-4074.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.891674,31,-71.00,-47.00,16.00,327.00,330.00,-4080.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.907927,32,-78.00,-51.00,6.00,312.00,335.00,-4109.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.921365,33,-115.00,-22.00,-16.00,372.00,371.00,-3993.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.936312,34,-79.00,-14.00,-11.00,338.00,352.00,-3944.00,-0.96,-0.27,-0.09,0.01
2023-12-29 15:56:23.951099,35,-44.00,-29.00,16.00,351.00,373.00,-3962.00,-0.96,-0.27,-0.09,0.00
2023-12-29 15:56:23.965345,36,-47.00,-87.00,50.00,394.00,307.00,-3993.00,-0.96,-0.27,-0.09,0.00
2023-12-29 15:56:23.982055,37,-43.00,-104.00,62.00,386.00,296.00,-3982.00,-0.96,-0.27,-0.09,0.00
2023-12-29 15:56:23.997352,38,12.00,-88.00,68.00,359.00,314.00,-3912.00,-0.96,-0.27,-0.09,0.00
2023-12-29 15:56:24.011445,39,89.00,-78.00,118.00,354.00,352.00,-3851.00,-0.96,-0.26,-0.09,0.00
2023-12-29 15:56:24.026209,40,116.00,-119.00,182.00,351.00,313.00,-3833.00,-0.96,-0.26,-0.09,0.00
2023-12-29 15:56:24.041487,41,174.00,-247.00,231.00,296.00,241.00,-3880.00,-0.96,-0.26,-0.08,0.00
2023-12-29 15:56:24.056170,42,252.00,-368.00,184.00,296.00,222.00,-4087.00,-0.96,-0.26,-0.08,0.01
2023-12-29 15:56:24.072125,43,201.00,-311.00,122.00,303.00,275.00,-4194.00,-0.96,-0.25,-0.08,0.01
